prefecture,ja,en
Osaka,大阪府八尾市,Yao
Osaka,大阪府吹田市,Suita
Osaka,大阪府和泉市,Izumi
Osaka,大阪府堺市,Sakai
Osaka,大阪府外,Outside Osaka　City
Osaka,大阪府府外,Outside Osaka Prrefecture
Osaka,大阪府大東市,Daito
Osaka,大阪府大阪市,Osaka City
Osaka,大阪府守口市,Moriguchi
Osaka,大阪府岸和田市,Kishiwada
Osaka,大阪府東大阪市,Higashiosaka
Osaka,大阪府枚方市,Hirakata
Osaka,大阪府池田市,Ikeda
Osaka,大阪府河南町,Kanan
Osaka,大阪府泉佐野市,Izumisano
Osaka,大阪府箕面市,Minoh
Osaka,大阪府能勢町,Nose
Osaka,大阪府茨木市,Ibaraki
Osaka,大阪府寝屋川市,Neyagawa
Osaka,大阪府松原市,Matsubara
Osaka,大阪府藤井寺市,Fujidera
Osaka,大阪府岸和田,Kishiwada
Osaka,大阪府交野市,Katano
Osaka,大阪府豊中市,Toyonaka
Osaka,大阪府高槻市,Takatsuki
Osaka,大阪府阪南市,Hannan
Osaka,大阪府熊取町,Kumatori
Osaka,大阪府富田林市,Tondabayashi
Osaka,大阪府門真市,Kadoma
Osaka,大阪府河内長野市,Kawachinagano
Osaka,大阪府豊能町,Toyono
Osaka,大阪府柏原市,Kashiwara
Osaka,大阪府東大阪,Higashiosaka
Osaka,大阪府貝塚市,Kaizuka
Aichi,中国武漢市,"Wuhan, China"
Aichi,名古屋市,Nagoya
Aichi,尾張地方,Owari Area
Aichi,江南市,Konan
Aichi,清須市,Kiyosu
Aichi,一宮市,Ichinomiya
Aichi,稲沢市,Inazawa
Aichi,大府市,Obu
Aichi,碧南市,Hekinan
Aichi,知立市,Chiryu
Aichi,阿久比町,Agui
Aichi,知多市,Chita
Aichi,豊田市,Toyota
Aichi,小牧市,Komaki
Aichi,常滑市,Tokoname
Aichi,長久手市,Nagakute
Kanagawa,神奈川県相模原市,Sagamihara
Kanagawa,神奈川県,Kanagawa
Kanagawa,神奈川県藤沢市,Fujisawa
Kanagawa,神奈川県川崎市,Kawasaki
Kanagawa,神奈川県横浜市,Yokohama
Kanagawa,神奈川県鎌倉保健福祉事務所管内,Kamakura
Kanagawa,神奈川県厚木保健福祉事務所管内,Atsugi
Kanagawa,神奈川県小田原保健福祉事務所管内,Odawara
Kanagawa,神奈川県平塚保健福祉事務所管内,Hiratsuka
Kanagawa,神奈川県茅ヶ崎市保健所管内,Maozaki
Kanagawa,神奈川県横須賀市,Yokosuka
Tokyo,都内,Tokyo
Saitama,埼玉県外,Outside Saitama Prefecture
Saitama,埼玉県,Saitama
Saitama,行田市,Gyoda
Saitama,上尾市,Ageo
Saitama,所沢市,Tokorozawa
Saitama,入間市,Iruma
Saitama,美里町,Misato
Saitama,朝霞市,Asaka
Saitama,戸田市,Toda
Nara,大和高田市,Yamatotakada
Nara,大淀町,Oyodo
Toyama,立山町,Tateyama
Toyama,富山市,Toyama City
Yamaguchi,防府市,Hofu
Mie,四日市市,Yokkaichi
Kumamoto,熊本市東区,Kumamoto City East Ward
Kumamoto,熊本市中央区,Kumamoto City Chuo Ward
Kagawa,坂出市,Sakaide
Ibaraki,つくば市,Tsukuba
Ibaraki,古河市,Koga
Ibaraki,龍ヶ崎市,Ryugasaki
Ibaraki,境町,Sakai
Hyogo,神戸市,Kobe
Hyogo,西宮市,Nishinomiya
Hyogo,宝塚健康福祉事務所管内,Takarazuka
Hyogo,高砂市,Takasago
Hyogo,加古川市,Kakogawa
Hyogo,明石市,Akashi
Hokkaido,石狩振興局管内,Ishikari
Hokkaido,千歳市,Chitose
Osaka,大阪府羽曳野市,Habikino
Osaka,大阪府羽曳野,Habikino
Fukuoka,久留米市,Kurume
Fukuoka,遠賀郡,Onga
Fukuoka,柳川市,Yanagawa
Fukuoka,糟屋郡,Kasuya
Fukuoka,古賀市,Koga
Hiroshima,安芸郡海田町,Kaita
Kanagawa,川崎市高津区,"Takatsu, Kawasaki"
Kanagawa,川崎市多摩区,"Tamagawa, Kawasaki"
Kanagawa,川崎市麻生区,"Asao, Kawasaki"
Kanagawa,川崎市宮前区,"Miyamae, Kawasaki"
Kanagawa,川崎市川崎区,"Kawasaki, Kawasaki"
Kanagawa,川崎市中原区,"Nakahara, Kawasaki"
Kanagawa,川崎市幸区,"Saiwai, Kawasaki"
Kanagawa,鎌倉,Kamakura
Kanagawa,厚木,Atsugi
Kanagawa,三浦市,Miura
Kanagawa,綾瀬市,Ayase
Kanagawa,大和市,Yamato
Kanagawa,厚木市,Atsugi
Kanagawa,相模原市,Sagamihara
Kanagawa,藤沢市,Fujisawa
Saitama,所沢市,Tokorozawa
Saitama,鴻巣市,Kounosu
Saitama,朝霞市,Asaka
Okinawa,那覇市,Naha
Okinawa,南部保健所管内,Nanbu
Okinawa,浦添市,Urasoe
Okinawa,中部保健所管内,Chubu
Okinawa,沖縄市,Okinawa City
Osaka,大阪市,Osaka City
Osaka,八尾市,Yao
Osaka,吹田市,Suita
Osaka,和泉市,Izumi
Osaka,堺市,Sakai
Osaka,府外,Outside Osaka
Osaka,大東市,Daito
Osaka,大阪市,Osaka City
Osaka,守口市,Moriguchi
Osaka,岸和田市,Kishiwada
Osaka,東大阪市,Higashiosaka
Osaka,枚方市,Hirakata
Osaka,池田市,Ikeda
Osaka,河南町,Kanan
Osaka,泉佐野市,Izumisano
Osaka,箕面市,Minoh
Osaka,能勢町,Nose
Osaka,茨木市,Ibaraki
Osaka,寝屋川市,Neyagawa
Osaka,松原市,Matsubara
Osaka,藤井寺市,Fujidera
Osaka,岸和田,Kishiwada
Osaka,交野市,Katano
Osaka,豊中市,Toyonaka
Osaka,高槻市,Takatsuki
Osaka,阪南市,Hannan
Osaka,熊取町,Kumatori
Osaka,富田林市,Tondabayashi
Osaka,門真市,Kadoma
Osaka,河内長野市,Kawachinagano
Osaka,豊能町,Toyono
Osaka,柏原市,Kashiwara
Osaka,東大阪,Higashiosaka
Osaka,貝塚市,Kaizuka
Osaka,高石市,Takaishi
Osaka,四條畷市,Shijonawate
Osaka,泉大津市,Izumiotsu
Yamagata,南陽市,Nanyo
Shizuoka,掛川市,Kakegawa
Shizuoka,菊川市,Kikugawa
Aichi,刈谷市,Kariya
Hokkaido,札幌市,Sapporo
Hokkaido,小樽市,Otaru
Hokkaido,北広島市,Kita Hiroshima
Hokkaido,登別市,Noboribetsu
Hokkaido,利尻富士町,Rishirifuji
Saitama,さいたま市,Saitama City
Saitama,川口市,Kawaguchi
Saitama,川口市外,Outside Kawaguchi
Saitama,越谷市,Koshigaya
Saitama,春日部市,Kasukabe
Saitama,八潮市,Yashio
Saitama,県外,Outside Saitama
Saitama,草加市,Sōka
Saitama,小川町,Ogawa
Saitama,寄居町,Yorii
Saitama,深谷市,Fukaya
Saitama,蕨市,Warabi
Saitama,新座市,Niiza
Osaka,羽曳野市,Habikino
Osaka,摂津市,Settsu
Hokkaido,オホーツク総合振興局管内,Okhotsu
